City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Name,Date
113,marana,32.4367,-111.2254,87.26,50,40,12.66,US,1660532158
114,hilo,19.7297,-155.09,79.09,73,92,1.01,US,1660532158
115,muzhi,65.3667,64.6667,52.03,65,19,15.79,RU,1660532159
116,karratha,-20.7377,116.8463,82.11,39,37,14.61,AU,1660532159
117,balkanabat,39.5108,54.3671,90.0,18,0,8.08,TM,1660532160
118,kieta,-6.2167,155.6333,83.1,71,89,4.5,PG,1660532161
119,oktyabrskoye,43.0645,44.7417,64.35,93,0,4.47,RU,1660532161
120,uyutne,45.1994,33.3014,74.08,84,96,6.35,UA,1660532162
121,vaini,-21.2,-175.2,73.56,83,75,14.97,TO,1660532162
122,saint-philippe,-21.3585,55.7679,64.96,74,35,11.68,RE,1660532163
123,svarstad,59.399,9.9698,59.68,81,49,4.36,NO,1660532164
124,karachi,24.9056,67.0822,82.22,83,75,8.05,PK,1660531924
125,ojinaga,29.5667,-104.4167,94.15,36,0,12.66,MX,1660532165
126,souillac,-20.5167,57.5167,68.38,83,75,17.27,MU,1660532165
127,aklavik,68.2191,-135.0107,49.91,82,98,9.64,CA,1660532166
128,umm lajj,25.0213,37.2685,83.68,77,52,8.59,SA,1660532166
129,bethanien,-26.502,17.1583,44.58,48,27,6.38,NA,1660532167
130,kontagora,10.3999,5.4695,70.5,98,100,3.38,NG,1660532167
131,bilma,18.6853,12.9164,88.9,37,100,8.01,NE,1660532168
132,oistins,13.0667,-59.5333,80.69,78,75,8.05,BB,1660532078
133,alyangula,-13.8483,136.4192,77.32,39,9,16.6,AU,1660532169
134,vardo,70.3705,31.1107,46.38,76,76,10.36,NO,1660532169
135,tual,-5.6667,132.75,79.59,76,97,24.54,ID,1660532170
136,pascagoula,30.3658,-88.5561,79.63,92,56,5.57,US,1660532170
137,ozernovskiy,51.5,156.5167,59.7,91,100,16.98,RU,1660532171
138,avarua,-21.2078,-159.775,69.85,83,75,5.75,CK,1660532171
139,taganak,6.0833,118.3,86.09,74,87,3.0,PH,1660532172
140,mount gambier,-37.8333,140.7667,49.91,93,75,18.41,AU,1660532172
141,upernavik,72.7868,-56.1549,42.17,82,100,7.27,GL,1660532173
142,bambous virieux,-20.3428,57.7575,68.25,83,75,17.27,MU,1660532174
143,aban,56.67,96.06,60.08,69,86,14.41,RU,1660532174
144,juan lacaze,-34.4342,-57.4381,66.11,91,79,16.67,UY,1660532175
145,merauke,-8.4667,140.3333,79.59,73,73,18.34,ID,1660532175
146,bredasdorp,-34.5322,20.0403,41.38,75,16,4.0,ZA,1660532176
147,chokurdakh,70.6333,147.9167,57.16,35,7,9.37,RU,1660532176
148,saint-pierre,-21.3393,55.4781,64.81,71,0,5.75,RE,1660532177
149,hargeysa,9.56,44.065,67.98,67,75,26.46,SO,1660532177
150,northam,51.0333,-4.2167,65.57,86,98,4.34,GB,1660532178
151,taree,-31.9,152.4667,66.11,39,32,6.93,AU,1660532178
152,makakilo city,21.3469,-158.0858,81.5,58,98,15.75,US,1660532179
153,tiksi,71.6872,128.8694,47.57,81,91,4.81,RU,1660532180
154,touros,-5.1989,-35.4608,73.18,78,45,15.99,BR,1660532180
155,longyearbyen,78.2186,15.6401,39.49,95,100,4.5,SJ,1660532067
156,sao filipe,14.8961,-24.4956,76.91,73,4,7.14,CV,1660532181
157,kuah,6.3265,99.8432,82.38,78,20,3.44,MY,1660532181
158,port hawkesbury,45.6169,-61.3485,65.23,96,100,13.0,CA,1660532182
159,manto,14.9167,-86.3833,69.4,96,35,1.86,HN,1660532183
160,salalah,17.0151,54.0924,74.68,97,100,4.85,OM,1660532183
161,yellowknife,62.456,-114.3525,77.52,36,20,6.91,CA,1660532149
162,padang,-0.9492,100.3543,80.65,69,94,3.89,ID,1660532184
163,turkmenabat,39.0733,63.5786,76.98,29,0,11.5,TM,1660532184
164,mar del plata,-38.0023,-57.5575,53.98,97,100,14.0,AR,1660532185
165,naifaru,5.4444,73.3657,80.35,80,100,7.83,MV,1660532185
166,kodinar,20.7903,70.7031,79.77,87,100,17.0,IN,1660532186
167,garowe,8.4054,48.4845,73.27,73,85,21.56,SO,1660532186
168,atar,20.5169,-13.0499,84.45,55,100,3.98,MR,1660532187
169,lola,7.8,-8.5333,67.14,100,99,2.95,GN,1660532187
170,manta,-0.95,-80.7333,73.18,78,40,9.22,EC,1660532188
171,kjollefjord,70.9457,27.3465,44.42,87,20,6.91,NO,1660532188
172,baswa,27.15,76.5833,82.04,78,99,12.39,IN,1660532189
173,namatanai,-3.6667,152.4333,83.32,71,100,4.41,PG,1660532189
174,bay city,43.5945,-83.8889,66.16,79,100,0.0,US,1660531986
175,kantang,7.4054,99.5156,84.97,99,20,3.44,TH,1660532190
176,mahanoro,-19.9,48.8,62.06,84,2,3.76,MG,1660532191
